
央视频道,#genre#
CCTV-1综合,http://110.72.81.174:808/hls/54/index.m3u8
CCTV-1综合,http://nas.201606.xyz:4022/udp/239.11.0.65:5140
CCTV-1综合,http://nas.201606.xyz:4022/udp/239.11.0.66:5140
CCTV-1综合,http://nas.201606.xyz:4022/udp/239.11.0.130:5140
CCTV-1综合,http://nas.201606.xyz:4022/udp/239.10.0.151:5140
CCTV-2财经,http://nas.201606.xyz:4022/udp/239.11.0.108:5140
CCTV-2财经,http://nas.201606.xyz:4022/udp/239.10.0.146:5140
CCTV-3综艺,http://110.72.81.174:808/hls/37/index.m3u8
CCTV-3综艺,http://113.241.162.171:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://nas.201606.xyz:4022/udp/239.11.0.101:5140
CCTV-3综艺,http://nas.201606.xyz:4022/udp/239.10.0.147:5140
CCTV-4国际,http://nas.201606.xyz:4022/udp/239.11.0.109:5140
CCTV-4国际,http://nas.201606.xyz:4022/udp/239.10.0.148:5140
CCTV-5体育,http://110.72.81.174:808/hls/38/index.m3u8
CCTV-5体育,http://113.241.162.171:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://nas.201606.xyz:4022/udp/239.11.0.100:5140
CCTV-5体育,http://nas.201606.xyz:4022/udp/239.10.0.152:5140
CCTV-5+体育赛事,http://110.72.81.174:808/hls/14/index.m3u8
CCTV-5+体育赛事,http://nas.201606.xyz:4022/udp/239.11.0.241:5140
CCTV-5+体育赛事,http://nas.201606.xyz:4022/udp/239.10.0.154:5140
CCTV-6电影,http://110.72.81.174:808/hls/39/index.m3u8
CCTV-6电影,http://113.241.162.171:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://nas.201606.xyz:4022/udp/239.11.0.102:5140
CCTV-6电影,http://nas.201606.xyz:4022/udp/239.10.0.149:5140
CCTV-7军农,http://110.72.81.174:808/hls/5/index.m3u8
CCTV-7军农,http://nas.201606.xyz:4022/udp/239.11.0.110:5140
CCTV-8电视剧,http://110.72.81.174:808/hls/40/index.m3u8
CCTV-8电视剧,http://nas.201606.xyz:4022/udp/239.11.0.103:5140
CCTV-9纪录,http://nas.201606.xyz:4022/udp/239.11.0.111:5140
CCTV-10科教,http://113.241.162.171:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://nas.201606.xyz:4022/udp/239.11.0.112:5140
CCTV-11戏曲,http://nas.201606.xyz:4022/udp/239.11.0.22:5140
CCTV-12社会与法,http://nas.201606.xyz:4022/udp/239.11.0.113:5140
CCTV-13新闻,http://nas.201606.xyz:4022/udp/239.11.0.24:5140
CCTV-13新闻,http://nas.201606.xyz:4022/udp/239.10.0.155:5140
CCTV-14少儿,http://113.241.162.171:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://nas.201606.xyz:4022/udp/239.11.0.114:5140
CCTV-15音乐,http://nas.201606.xyz:4022/udp/239.11.0.26:5140
CCTV-17农业农村,http://nas.201606.xyz:4022/udp/239.11.0.107:5140





卫视频道,#genre#
安多卫视,http://nas.201606.xyz:4022/udp/239.11.0.124:5140
安徽卫视,http://nas.201606.xyz:4022/udp/239.11.0.117:5140
北京卫视,http://nas.201606.xyz:4022/udp/239.11.0.121:5140
兵团卫视,http://nas.201606.xyz:4022/udp/239.11.0.204:5140
重庆卫视,http://nas.201606.xyz:4022/udp/239.11.0.116:5140
东方卫视,http://nas.201606.xyz:4022/udp/239.11.0.68:5140
东南卫视,http://nas.201606.xyz:4022/udp/239.11.0.41:5140
甘肃卫视,http://nas.201606.xyz:4022/udp/239.11.0.55:5140
广东卫视,http://110.72.81.174:808/hls/11/index.m3u8
广东卫视,http://nas.201606.xyz:4022/udp/239.11.0.115:5140
广西卫视,http://110.72.81.174:808/hls/9/index.m3u8
广西卫视,http://nas.201606.xyz:4022/udp/239.11.0.48:5140
贵州卫视,http://nas.201606.xyz:4022/udp/239.11.0.51:5140
海南卫视,http://nas.201606.xyz:4022/udp/239.11.0.193:5140
河北卫视,http://nas.201606.xyz:4022/udp/239.11.0.31:5140
河南卫视,http://nas.201606.xyz:4022/udp/239.11.0.44:5140
黑龙江卫视,http://nas.201606.xyz:4022/udp/239.11.0.36:5140
湖北卫视,http://nas.201606.xyz:4022/udp/239.11.0.74:5140
湖南卫视,http://nas.201606.xyz:4022/udp/239.11.0.119:5140
吉林卫视,http://nas.201606.xyz:4022/udp/239.11.0.35:5140
吉林卫视,http://nas.201606.xyz:4022/udp/239.10.0.160:5140
江苏卫视,http://nas.201606.xyz:4022/udp/239.11.0.76:5140
江西卫视,http://nas.201606.xyz:4022/udp/239.11.0.42:5140
康巴卫视,http://nas.201606.xyz:4022/udp/239.11.0.10:5140
康巴卫视,http://nas.201606.xyz:4022/udp/239.10.0.161:5140
康巴卫视,http://nas.201606.xyz:4022/udp/239.10.0.162:5140
辽宁卫视,http://110.72.81.174:808/hls/2/index.m3u8
辽宁卫视,http://nas.201606.xyz:4022/udp/239.11.0.118:5140
旅游卫视,http://110.72.81.174:808/hls/1/index.m3u8
内蒙古卫视,http://nas.201606.xyz:4022/udp/239.11.0.33:5140
宁夏卫视,http://nas.201606.xyz:4022/udp/239.11.0.57:5140
青海卫视,http://nas.201606.xyz:4022/udp/239.11.0.56:5140
山东卫视,http://nas.201606.xyz:4022/udp/239.11.0.73:5140
山西卫视,http://nas.201606.xyz:4022/udp/239.11.0.32:5140
陕西卫视,http://nas.201606.xyz:4022/udp/239.11.0.54:5140
深圳卫视,http://nas.201606.xyz:4022/udp/239.11.0.71:5140
四川卫视,http://nas.201606.xyz:4022/udp/239.11.0.78:5140
天津卫视,http://nas.201606.xyz:4022/udp/239.11.0.123:5140
西藏卫视,http://nas.201606.xyz:4022/udp/239.11.0.53:5140
新疆卫视,http://nas.201606.xyz:4022/udp/239.11.0.58:5140
延边卫视,http://nas.201606.xyz:4022/udp/239.11.0.206:5140
云南卫视,http://nas.201606.xyz:4022/udp/239.11.0.52:5140
浙江卫视,http://nas.201606.xyz:4022/udp/239.11.0.70:5140

电影频道,#genre#
第一电影,http://nas.201606.xyz:4022/udp/239.11.0.180:5140
第一剧场,http://nas.201606.xyz:4022/udp/239.11.0.189:5140
